						Accept Condition							Refuse Condition							Soften Condition	Harden Condition
							Modifiers							Modifiers							
ID	Loi Name	Loi Type	Law Text	Law Level	Need Law ID	Add Law ID	Governement Opinion	Populace Opinion	Economy	Employment	Religion	Cash	Add Law ID	Governement Opinion	Populace Opinion	Economy	Employment	Religion	Cash	Add Law ID	Add Law ID
0	Augmentation de la durée du travail à 39h	Liberals	Ajout de 4 heures au temps de travail minimum d'un contrat standard, les heures ajoutées n'entrainent bien évidemment aucune hausse de salaire pour le salarié. Peu populaire, une telle réforme devrait néanmoins relancer l'économie.	0	-1	1	0	0	5	-5	0	1000	-1	0	5	-5	-2	0	0	167	334
1	Suppression de la durée légale du travail	Liberals	En supprimant la durée légale du travail, les employeurs pourront donc moduler selon les besoins du marché le travail de leurs employés. Les mauvaises langues diront qu'une telle dérégulation est dangereuse pour les conditions salariales, mais qui oserait douter que les employeurs pourraient penser à mal ?	1	0	2	0	-5	8	-5	0	1000	-1	0	7	-5	-3	0	0	168	335
2	Limitation du code du travail	Liberals	Suppression de tous les articles du code du travail, sauf les mentions sur l'obligation de résultat des employés. Pour tout vote "Oui" : un bisou de Pierre Gataz.	2	1	3	0	-7	7	-5	0	1000	-1	-7	7	-5	-5	0	0	169	336
3	Interdiction des pauses	Liberals	Suppression des pauses lors de la journée de travail : pauses intermédiaires, pauses repas, absence d'attention, ... Certains syndicalistes revanchards risquent de se plaindre, mais leur absence de reconnaissance ne saurait égaler les bénéfices économiques d'une telle mesure.	3	2	4	0	-9	14	-5	0	2000	-1	-7	10	-5	-6	0	0	170	337
4	Autorisation de l’enfermement en cages des employés 	Liberals	Pour maximiser la productivité du pays, l'enfermement en cage des esclaves ... EMPLOYÉS ! est une solution idéale. Les ONG œuvrant pour les droits de l'Homme risquent de venir en aide au syndicalistes, mais qui s'en inquiète ?	4	3	-1	0	-12	12	-10	0	3000	-1	-7	10	-5	-8	0	0	171	338
5	Contrôle strict des allocations chômage	Liberals	Certains de nos concitoyens profitent du laxisme du système pour détourner les aides dédiées aux chômeurs et non aux profiteurs ! Il y a bien sûr des risques de mettre en difficultés d'honnêtes citoyens avec un tel dispositif, mais les gains pour le budget public sauront se faire sentir.	0	-1	6	8	0	0	2	0	1000	-1	0	3	-5	3	0	0	172	339
6	Limitation de la durée des allocations chômage	Liberals	Un citoyen qui ne trouve pas d'emploi dans un pays si bien géré ne peut être autre chose qu'un profiteur ... Limitons donc les allocations chômages dans le temps pour pousser les profiteurs à rechercher un emploi ... ou tout au moins à diminuer les dépenses publics !	1	5	7	8	-3	0	5	0	3000	-1	0	5	-5	3	0	0	173	340
7	Suppression des allocations chômage	Liberals	Les chômeurs sont coupables de ne pas trouver d'emplois par eux-même : ils n'avaient pour commencer pas à perdre le leur ! Très impopulaire, une telle mesure devrait néanmoins diminuer le chômage et grandement baisser les chiffres du chômage.	2	6	8	11	-4	0	7	0	4000	-1	-7	7	-5	3	0	0	174	341
8	Impôt sur le chômage (taxe sur la non productivité)	Liberals	Malgré toutes nos mesures, certains osent encore rester dans l'oisiveté. Très impopulaire, une telle mesure devrait cependant être assez bonne pour les chiffres.	3	7	9	11	-7	5	5	0	4000	-1	-7	7	-5	3	0	0	175	342
9	Emploi imposé par l'Etat	Liberals	Certains emplois restent malgré tous nos efforts non pourvu ... Si les chômeurs ne veulent pas travailler quand on leur demande gentillement, alors c'est la police qui les amenera à l'usine !	4	8	-1	11	-12	3	9	0	5000	-1	-7	10	-5	3	0	0	176	343
10	Privatisation des entreprises d'État	Liberals	Pourquoi diable l'Etat devrait-il employer des fonctionnaires dans des entreprises déficitaires, alors que le libre marché pourrait nous soulager de cette peine, non sans nous avoir donné un pécule non négligeable. Plutôt impopulaire, une telle mesure devrait néanmoins offrir une respiration dans le budget de l'État.	0	-1	11	8	-5	10	-5	0	6000	-1	0	3	-5	5	0	5000	177	344
11	Plan de réduction de 100 000 fonctionnaires	Liberals	Cela n'est jamais agréable, ni bon pour les chiffres du chômage, mais il semblerait que nous devions nous résoudre à nous séparer de 100 000 fonctionnaires. Nous devrions ainsi pouvoir réaliser des économies non négligeables dans les dépenses publiques.	1	10	12	8	-7	10	-5	0	6000	-1	-3	5	-5	5	0	5000	178	345
12	Privatisation de l'Éducation Nationale	Liberals	Depuis un siècle, l'Éducation Nationale forme la jeunesse de notre patrie ; néanmoins, son coût n'est aujourd'hui plus supportable. En transférant ses compétances aux écoles privées, nous réaliserions des économies indispensables.	2	11	13	11	-8	15	-10	0	8000	-1	-3	5	-5	5	0	5000	179	346
13	Privatisation de l'armée	Liberals	Nous devons nous y résoudre : l'armée française n'est plus que l'ombre d'elle même, car dépassée. En transférant ses compétences à des mercenaires, nous réduirons certainement notre force, mais nous pourrions conserver une petite force d'intervention en cas de besoins.	3	12	14	13	-12	20	-15	0	25000	-1	-3	10	-5	5	0	8000	180	347
14	Privatisation du gouvernement	Liberals	Le Gouvernement est aujourd'hui une source de dépenses importantes, en le privatisant, nous confronterions celui-ci à l'économie de marché et pourrions pourquoi pas espérer, que ses actionnaires touchent enfin des dividendes.	4	13	-1	23	-13	25	-20	0	50000	-1	-7	10	-5	5	0	10000	181	348
